user_id,user,tweet_id,text,location,date
15359126,LACountyLibrary,1442962826704785408,"Is a COVID-19 vaccine on your To-do list today? We have two locations providing vaccines this afternoon:

Woodcrest… https://t.co/K9A4UT6b9f",,2021-09-28 21:22:01+00:00
263477022,AutismAwareAus,1442962825467498497,"“While there were numerous factors leading to vaccine hesitancy in mid-2021, the uncertainty &amp; confusion may have c… https://t.co/STlDazA647",,2021-09-28 21:22:01+00:00
213352541,R0zzyB0wden,1442962816059641856,@LikeWaterGoes @cbrashear16 @Inked_Buddhist @mandermanda_ @washingtonpost They've been working on it for 20 years a… https://t.co/rAKkOXnT5o,,2021-09-28 21:21:58+00:00
419945769,Mike_Garland1,1442962709209915393,4-year-old mistakenly given adult COVID-19 vaccine instead of flu shot https://t.co/hmg93quRib #FoxNews,,2021-09-28 21:21:33+00:00
3832701,boback,1442962692487086080,Fauci: Data from NIH mix-and-match Covid vaccine booster trials ready soon ⁦@CNBCnow⁩  https://t.co/aVysoNGBxc,,2021-09-28 21:21:29+00:00
1186099670797279232,MauvisSongBird,1442962674149584898,Science: Natural immunity after COVID disease is stronger and longer lasting than vaccine.,,2021-09-28 21:21:25+00:00
2847130953,culpeperoutpost,1442962665765212161,When they cry about no staff. See what happens. Worked without vaccine before. Now can't. Watch what these medical… https://t.co/NTdZTh9LpI,,2021-09-28 21:21:23+00:00
21613829,AmySavinParker,1442962662699175936,@Ceelo1x @mtracey @matthewstoller He can still get it and transmit it to others.  The vaccine makes this much less… https://t.co/sd7toboRjc,,2021-09-28 21:21:22+00:00
21335246,WGNRadioNews,1442962592712982529,Pfizer COVID-19 vaccine authorization for kids 5-11 may not come before November https://t.co/O638NsOLFY,,2021-09-28 21:21:05+00:00
3095619081,mark_pyron,1442962584479535105,@sherryl37110980 @Liz_Wheeler @ezralevant You need to get a life and get a vaccine. The people dying from covid are 99% unvaccinated.,,2021-09-28 21:21:03+00:00
705423740465590273,jaybakeraz,1442962557413650432,"4-year-old mistakenly given adult COVID-19 vaccine instead of flu shot 

That's CRIMINAL!

https://t.co/WY3oBfrt75 #FoxNews",,2021-09-28 21:20:57+00:00
1150755395759005696,PublicO10056495,1442962545384431616,"😆 yeah 😂 They will give you medicine to hopefully help you deal with Covid, not prevent it or lessen the severity.… https://t.co/b65xrFhWvw",,2021-09-28 21:20:54+00:00
21613829,AmySavinParker,1442962506264104960,@KilgoreMacky @mtracey @matthewstoller Hard disagree.  https://t.co/VyAGKRVxEC,,2021-09-28 21:20:45+00:00
2372129786,RedbaronKA,1442962449087418371,"Thousands of United workers to be fired, furloughed over COVID vaccine mandates - Newsweek https://t.co/iIqrgvQefd",,2021-09-28 21:20:31+00:00
114121395,LosAngelesPatch,1442962432276643843,"It has now been 41 weeks since the first shipments of the COVID-19 vaccine were sent out to states, kicking off the… https://t.co/jRE2DRLF5D",,2021-09-28 21:20:27+00:00
2285656308,DanielMunoz100,1442962420729851906,Anti-COVID vaccine demonstrators also gathering outside https://t.co/jP7MGZ70th,"Newark, NJ",2021-09-28 21:20:24+00:00
1305288128,maho_madi,1442962401406726144,(3/5) still sick and still trying to recover from my body trying to fight off real covid and the vaccine. I guess I… https://t.co/9uUiCAMKNQ,,2021-09-28 21:20:20+00:00
1305288128,maho_madi,1442962398827139072,(1/5) I’m panicking…I got the COVID-19 vaccine thinking I would maybe have a sore arm. But I ended up getting actua… https://t.co/grFIscgx1t,,2021-09-28 21:20:19+00:00
4428122716,MUNSTERINC1,1442962365390024704,@JamesBlo3 @KendrickPerkins You are very mistaken. The vaccine does not protect you from catching COVID or lower yo… https://t.co/UZChY4Wumy,,2021-09-28 21:20:11+00:00
15535860,nbcsandiego,1442962364454768640,COVID Booster Shot Side Effects Similar to 2nd Vaccine Dose: CDC Study https://t.co/efq6aR1Vnq,,2021-09-28 21:20:11+00:00
21730266,jackell999,1442962337141428224,Can You Get Your Flu Shot and COVID-19 Vaccine at the Same Time? Here’s What Dr. Fauci Says https://t.co/kBS0qyZl9k via @Yahoo,,2021-09-28 21:20:04+00:00
16131298,surrogacylawyer,1442962332657672193,"Among the common myths circulating about the #COVID19 vaccine today, is one that links the vaccine to miscarriages.… https://t.co/cbHJNLHb8i",,2021-09-28 21:20:03+00:00
16264003,MassGov,1442962328366944257,"Today's #COVID19MA vaccine update: 

- 10,766,610 doses shipped to MA 
- 9,424,527 total doses administered, 7,380… https://t.co/TdgsR7B8vs",,2021-09-28 21:20:02+00:00
19201818,NBCConnecticut,1442962322356461568,COVID Booster Shot Side Effects Similar to 2nd Vaccine Dose: CDC Study https://t.co/7dKDW34yXI,,2021-09-28 21:20:01+00:00
19319374,MarkG_Medina,1442962290861436931,LeBron James deserves praise for talking more openly about taking the COVID-19 shot after having initial skepticism… https://t.co/Fekm6g9kLy,,2021-09-28 21:19:53+00:00
64902400,alexYQR,1442962288932048898,"103 

That’s the number of children who are unable to get a vaccine became infected with COVID today.",,2021-09-28 21:19:53+00:00
307337030,Rocky_H_Johnson,1442962270749790208,"@BrerJer @Futurechaser24 @JackPosobiec You’re right, the Politicians in Washington making mandates dont understand… https://t.co/KQnpyFWWWS",,2021-09-28 21:19:48+00:00
14216661,nationalpost,1442962248339574785,Alberta NDP's proposal to reach the vaccine-hesitant: Go door-to-door with COVID-19 shots https://t.co/oxNwLhBwHq https://t.co/7j8gkRkIGs,,2021-09-28 21:19:43+00:00
21613829,AmySavinParker,1442962247349907457,"@Truth3310 @mtracey @matthewstoller Not really.  Even if he doesn’t get sick, he can still transmit it to others.

https://t.co/VyAGKSd93c",,2021-09-28 21:19:43+00:00
1072490868517601282,EsqJoanwayne,1442962230186704896,"@PressSec @QondiNtini @POTUS Word.
P.S. Getting a Covid vaccine is statistically safer for you &amp; your family - 
tha… https://t.co/FCIAeGj8IW",,2021-09-28 21:19:39+00:00
16638552,HoumaToday,1442962211253616643,#Terrebonne General offering COVID-19 vaccine boosters to eligible groups https://t.co/EhHlJXvDIy,,2021-09-28 21:19:34+00:00
207317046,sordo44,1442962186863742976,Cuba Ships First Batch of Abdala COVID-19 Vaccine to Vietnam - https://t.co/FMoqjvTiJo via @shareaholic,,2021-09-28 21:19:28+00:00
207317046,sordo44,1442962186863742976,Cuba Ships First Batch of Abdala COVID-19 Vaccine to Vietnam - https://t.co/FMoqjvTiJo via @shareaholic,,2021-09-28 21:19:28+00:00
21613829,AmySavinParker,1442962129657552897,"@AnonymousBadas5 @mtracey @matthewstoller Not necessarily true.  Even if he doesn’t get really sick, he can still s… https://t.co/TyMUqNCx4d",,2021-09-28 21:19:15+00:00
1274469448469016576,CanNews24,1442962117338951692,Trudeau moving ahead with COVID-19 vaccine mandate for federal public servants https://t.co/xR4WD4dfE9,,2021-09-28 21:19:12+00:00
23523793,duffeleanor,1442962116399415302,"With positive data on mRNA Covid vaccine, Sanofi sets its sights on other pathogens https://t.co/OM0a1KIjKo via @statnews",,2021-09-28 21:19:12+00:00
5751952,myfox8,1442962068471095296,Pfizer COVID-19 vaccine authorization for kids 5-11 may not come before November https://t.co/6BSvH8XFuP https://t.co/9spTgp5drs,,2021-09-28 21:19:00+00:00
40601552,nymets22,1442962050943119360,"NYC judge blocks school vaccine mandate as deadline looms, but city confident it ‘will be upheld’ https://t.co/iNUU30eKDp #",,2021-09-28 21:18:56+00:00
